Age Group,Type of Job,Marital Status,Education Level,Credit in Default,Annual Balance (Euros),Loan (Housing / Personal),Last Contact Duration (sec),Contacts Performed (current),Contacts Performed (previous),Month Since Last Contacted,Previous Outcomes,Predicted Subscription (current)
26 - 35,admin.,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,technician,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
46 - 55,admin.,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,HP,3 - 4 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,11 - 20,12 months,failure,no
36 - 45,self-employed,married,secondary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,6 months,failure,yes
46 - 55,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,divorced,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,success,no
46 - 55,entrepreneur,divorced,unknown,no,0 - 10k,H-,1 - 2 hours,4 - 6,1 - 10,12 months,failure,yes
26 - 35,technician,single,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,11 - 20,12 months,failure,yes
36 - 45,technician,single,secondary,no,10k - 20k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,11 - 20,12 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,11 - 20,12 months,failure,no
26 - 35,technician,single,secondary,no,10k - 20k,H-,3 - 4 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,6 months,success,yes
36 - 45,technician,single,tertiary,no,0 - 10k,--,3 - 4 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,admin.,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,11 - 20,12 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,entrepreneur,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,divorced,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,single,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,no
46 - 55,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,21 - 30,12 months,failure,no
36 - 45,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,admin.,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,entrepreneur,divorced,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,unemployed,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,11 - 20,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,single,primary,no,0 - 10k,H-,1 - 2 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,21 - 30,12 months,failure,no
36 - 45,admin.,single,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,5 - 6 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,secondary,no,10k - 20k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,management,married,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,student,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,self-employed,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,technician,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,technician,single,secondary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,single,secondary,no,0 - 10k,H-,4 - 5 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,services,single,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,retired,divorced,tertiary,no,0 - 10k,--,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,10k - 20k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,1 - 2 hours,4 - 6,1 - 10,12 months,failure,yes
26 - 35,technician,single,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,blue-collar,divorced,primary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,unemployed,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,unknown,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,entrepreneur,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
26 - 35,technician,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,success,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,divorced,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,services,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,entrepreneur,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,single,tertiary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,10 - 12,1 - 10,12 months,failure,no
26 - 35,admin.,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,entrepreneur,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,entrepreneur,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,single,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,management,married,primary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,single,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,tertiary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,divorced,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,Negative Balances,--,1 - 2 hours,4 - 6,1 - 10,6 months,failure,no
36 - 45,technician,single,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,Negative Balances,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
16 - 25,student,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,technician,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,admin.,divorced,secondary,no,Negative Balances,--,4 - 5 hours,1 - 3,1 - 10,6 months,failure,yes
36 - 45,admin.,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,self-employed,married,tertiary,no,10k - 20k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,services,divorced,unknown,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
46 - 55,management,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,services,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,yes
26 - 35,services,married,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,12 months,failure,yes
36 - 45,services,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,yes
46 - 55,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,married,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,self-employed,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,--,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,single,secondary,no,0 - 10k,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,divorced,primary,no,0 - 10k,H-,3 - 4 hours,1 - 3,1 - 10,12 months,success,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,6 months,failure,yes
36 - 45,blue-collar,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,success,no
36 - 45,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,4 - 6,1 - 10,12 months,failure,no
26 - 35,services,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,technician,married,secondary,no,Negative Balances,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,self-employed,single,secondary,no,0 - 10k,H-,2 - 3 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,housemaid,single,tertiary,no,20k - 30k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,admin.,married,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
56 - 65,blue-collar,divorced,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,secondary,no,Negative Balances,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,married,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,primary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,entrepreneur,single,tertiary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,6 months,success,yes
46 - 55,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,management,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,divorced,secondary,no,0 - 10k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
16 - 25,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,divorced,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,services,divorced,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,blue-collar,married,unknown,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,technician,married,secondary,no,0 - 10k,H-,4 - 5 hours,1 - 3,1 - 10,12 months,failure,yes
16 - 25,blue-collar,single,unknown,no,0 - 10k,H-,1 - 2 hours,1 - 3,11 - 20,12 months,failure,no
36 - 45,management,divorced,secondary,no,Negative Balances,--,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,married,primary,no,10k - 20k,H-,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,blue-collar,single,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,housemaid,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,self-employed,single,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
46 - 55,blue-collar,married,secondary,no,Negative Balances,--,3 - 4 hours,1 - 3,1 - 10,6 months,failure,no
36 - 45,management,married,tertiary,no,0 - 10k,HP,1 - 2 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,entrepreneur,married,secondary,no,Negative Balances,HP,1 - 2 hours,1 - 3,1 - 10,6 months,failure,no
56 - 65,admin.,divorced,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,entrepreneur,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
46 - 55,services,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,management,married,tertiary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,self-employed,married,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,6 months,failure,no
26 - 35,blue-collar,single,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,married,tertiary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,blue-collar,single,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,technician,married,primary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
36 - 45,blue-collar,divorced,secondary,no,0 - 10k,H-,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
26 - 35,admin.,single,secondary,no,0 - 10k,HP,0 - 1 hours,1 - 3,1 - 10,12 months,failure,no
